source, num, place, sentence_number, sentence
second rock-edict, 2, girnar, 1, everywhere in the dominions of king devānāṁpriya priyadarśin. and likewise among (his) borderers. such as the choḍas. the pāṇḍyas. the satiyaputa. the ketalaputa. even tāmraparṇī. the yona king antiyaka. and also the kings who are the neighbours of this antiyaka. – everywhere two (kinds of) medical treatment were established by king devānāṁpriya priyadarśin. (viz.) medical treatment for men and medical treatment for cattle.
second rock-edict, 2, girnar, 2, and wherever there were no herbs that are beneficial to men and beneficial to cattle. everywhere they were caused to be imported and to be planted.
second rock-edict, 2, girnar, 3, wherever there were no roots and fruits. everywhere they were caused to be imported and to be planted.
second rock-edict, 2, girnar, 4, on the roads wells were caused to be dug. and trees were caused to be planted for the use of cattle and men.
second rock-edict, 2, girnar, 1, everywhere in the dominions of king devānāṁpriya priyadarśin. and likewise among (his) borderers. such as the choḍas. the pāṇḍyas. the satiyaputa. the ketalaputa. even tāmraparṇī. the yona king antiyaka. and also the kings who are the neighbours of this antiyaka. – everywhere two (kinds of) medical treatment were established by king devānāṁpriya priyadarśin. (viz.) medical treatment for men and medical treatment for cattle.
second rock-edict, 2, girnar, 2, and wherever there were no herbs that are beneficial to men and beneficial to cattle. everywhere they were caused to be imported and to be planted.
second rock-edict, 2, girnar, 3, wherever there were no roots and fruits. everywhere they were caused to be imported and to be planted.
second rock-edict, 2, girnar, 4, on the roads wells were caused to be dug. and trees were caused to be planted for the use of cattle and men.
second rock-edict, 2, kalsi, 1, everywhere in the dominions of king devānāṁpriya priyadarśin and (of those) who (are his) borderers. such as the choḍas. the pāṇḍyas. the sātiyaputa. the kelalaputa. tāmraparṇī. the yona king named antiyoga. and the other kings who are the neighbours of this antiyoga.–everywhere two (kinds of) medical men were established by king devānāṁpriya priyadarśin. (viz.) medical treatment for men and medical treatment for cattle.
second rock-edict, 2, kalsi, 2, wherever there were no herbs beneficial to men and beneficial to cattle. everywhere they were caused to be imported and to be planted.
second rock-edict, 2, kalsi, 3, likewise. wherever there were no roots and fruits. everywhere they were caused to be imported and to be planted.
second rock-edict, 2, kalsi, 4, on the roads trees were planted. and wells were caused to be dug for the use of cattle and men.
fifth rock-edict, 5, kalsi, 1, king devānāṁpriya priyadarśin speaks (thus).
fifth rock-edict, 5, kalsi, 2, it is difficult to perform virtuous deeds.
fifth rock-edict, 5, kalsi, 3, he who starts performing virtuous deeds accomplishes something difficult.
fifth rock-edict, 5, kalsi, 4, now. by me many virtuous deeds have been performed.
